"Sigle","Titre","Semestre dans le cursus","Aide à l'inscription pédagogique","Type du module","Auditeurs libres acceptés","Cours électifs / Contient des cours électifs","Cours électifs / Date de début des choix de cours électifs","Cours électifs / Date de fin des choix de cours électifs","Cours électifs / Message période ouverte","Cours électifs / Message si hors période","Cours électifs / Nombre de choix max étudiant","Notation / Moyenne minimale du module"
"UE2.M2.DV.S1","UE2-Théorie et initiation à la recherche.M2.DV.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DV.S2","UE2-Professionnalisation.M2.DV.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.II.S1","UE2-Théorie et initiation à la recherche.M2.II.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.II.S2","UE2-Professionalisation.M2.II.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.PV.S1","UE2-Théorie et initiation à la recherche.M2.PV.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.PV.S2","UE2-Professionnalisation.M2.PV.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.SC.S1","UE2-Théorie et initiation à la recherche.M2.SC.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.SC.S2","UE2-Professionnalisation.M2.SC.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.AE.S1","UE3-Fondamentaux théoriques.L2.AE.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.AE.S2","UE3-Fondamentaux théoriques.L2.AE.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.CA.S1","UE3-Fondamentaux théoriques.L2.CA.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.CA.S2","UE3-Fondamentaux théoriques.L2.CA.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DA.S1","UE3-Fondamentaux théoriques.L2.DA.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DA.S2","UE3-Fondamentaux théoriques.L2.DA.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DG.S1","UE3-Fondamentaux théoriques.L2.DG.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DG.S2","UE3-Fondamentaux théoriques.L2.DG.S2","4ème semestre","","","Non","Oui","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","3","0"
"UE3.L2.DO.S1","UE3-Fondamentaux théoriques.L2.DO.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DO.S2","UE3-Fondamentaux théoriques.L2.DO.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DT.S1","UE3-Fondamentaux théoriques.L2.DT.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DT.S2","UE3-Fondamentaux théoriques.L2.DT.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DV.S1","UE3-Fondamentaux théoriques.L2.DV.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.DV.S2","UE3-UE 3 - Fondamentaux théoriques.L2.DV.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.II.S1","UE3-Fondamentaux théoriques.L2.II.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
